name,review
4 Minute Crypto,Quick and useful updates.
Store Card,Doesn't recognize voice key after multiple attempts
CNBC,"Was good until around 11-20-2019. They changed something. I used to be able to say ""Alexa, ask CNBC Dow Jones"" and I would get the ""Dow is Up 100 point at 26,456"" type answer... This no longer works. >_<"
Mastermind - AI Assistant for Software Dev Teams,Needs iOS support!
Ask a Realtor,
Market Moment - Today in History,
Mastermind - AI Assistant for Software Dev Teams,Great!!!
Mastermind - AI Assistant for Software Dev Teams,You can now send text messages have Alexa call anyone via through your cellphone.check your messages the ultimate in convenience.
Mastermind - AI Assistant for Software Dev Teams,No comment
Legal Marketing Minutes,I really enjoy these marketing minutes.  The tips are insightful and practical.  Keep them cooming!
Mastermind - AI Assistant for Software Dev Teams,Need to learn more about it. Fun so far!
My Advisor,
Money Master - Personal Finance Flash Briefing,I love the personal finance advise
TD Ameritrade,Great experience. Will be interested in Watchlists and account updates.
Livestream Universe Update: Livestreaming News,"I love Ross's livestream updates! They are so clear, succinct and straight-to-the-point so it saves me time in reading through long blog posts. I can get a quick overview of the whole livestreaming landscape in just a few minutes to stay up-to-date with insider news."
Allstate,I really love this company.  It is always the first to bring on NEW tech for its clients...
News,
Marketing School,Listen to this every day in my podcast app already. This cuts out a step and allows me to control via Alexa. Thanks!
The Perfect Gentleman,Good nuggets to keep in mind.
Mastermind - AI Assistant for Software Dev Teams,Makes my communication much easier.  Love the voice activated features!!  Would like to see it be able to do more such as control smart home devices remotely
Mastermind - AI Assistant for Software Dev Teams,Can't believe there's a way to connect my echo to my Google home device.  Nice.  Everything works well.
The Pitch with Amy Summers,These tips have quickly become part of my daily morning routine! Very quick and helpful.
Front Row Entrepreneur,"This flash briefing is designed by someone who not only lives but trains what she publishes here. Jennifer Lehner speaks to the creator who is actively working in this industry and understands how to integrate and leverage what she shares. It’s a conversation from one professional to another. It’s especially appreciated how quickly she downloads. While she has much more to offer, Jennifer’s Alexa flash briefings are just that- in a flash and brief while remaining robust and empowering."
Long Island REALTORS,
One Minute Retirement Tip with Ashley,I enjoy listening to Ashley’s minute tips every morning.  I’ve learned so much from her.  She is so passionate about helping others and so talented in her ability to educate listeners.  I really appreciate how she guides listeners to set personal and financial goals to help them become the best versions of themselves.
Columbus Real Estate,Fun way to start your home buying/selling experience!!
Deloitte Podcasts,"Love this app. Easy to use, and they have a wide variety of content that's updated regularly. I check in weekly to listen to the latest podcasts from Deloitte insights."
TD Bank,when are we going to have a skill providung account balances and such???
One Minute Retirement Tip with Ashley,"Ashley is not only knowledgeable she is very entertaining, she makes this financial stuff fun.
The one minute retirement tip, which apparently 1 minute in Ashley time is a little bit longer in the rest of the world, LOL but the one minute retirement tip is one of the favorite parts of my morning flash briefing."
FPPad Fintech Update,"Bill's always on top of the latest Fintech news and trends and his adoption of Alexa is one more example. If you want to keep your finger on the pulse of advisor Fintech, add the FPPad Fintech Update to your Flash Briefing! I have."
Digital Marketing Morsel,"This is a great Alexa show!  I highly recommend it if you are a digital marketer or small business owner doing your own marketing!  Her show is fun, informative and motivating!!!"
RXTransparent API,"This RXTransparent app lets you know about drug shortages, drug recalls and the DSCSA.  Very useful information for pharmacists."
Bloomberg,Maybe later on there could be a option to choose from the hour long shows that are available on Apple TV like technology or finance or business and recommendations just for me
The Mastermind Play Book: Building A Richer Life,Aaron Walker really knows his stuff! His no-nonsense wisdom has changed my life in amazing ways. You won't be disappointed.
Gift Horse Brewing Company,"So nice to know what’s on draft and who will be playing at Gift Horse. Thanks, Guys."
Daily Mortgage Rates - Flash Briefing,Helpful information. Easy to use. Accurate. Great for checking regularly.
Social Selling for B2B,
Atlanta Real Estate,
Dave Sanderson: Declassified,An excellent applicable experience that will grab your attention and motivate you to take action.
Malaysia Petrol,
Biz Life Mashup,I love this briefing! It fills me with such warmth and positivity every morning! It's such a great start to my day!
DailyGithub,Does what I need it to do
Ryan Smith - Knoxville and Maryville Real Estate,Ryan helped educate and prepare me for being a first time home buyer. He is very understanding and does not try to push you into buying a home. He has a great team as well! I would definitely recommend Ryan Smith to anyone who is looking to buy a home!
Voicing Business,"Collin does an awesome job sharing interesting news surrounding the business side of the voice technology industry. He updates the flash briefing routinely, so it's always fresh content that's being cycled in. Definitely worth adding to your Flash Briefing!"
Ally,I go through setup process and after giving all information I get an error We were unable to complete your request.
Currency Today,Can’t get this to convert from Canadian to USD.
PSE&G (Public Service Electric & Gas),great app! i am now able to figure out what my balance is before my bill comes.
Front Row Entrepreneur,"Jen's flash briefings are gems! While I clean up after breakfast, I take in the best-of-the-best in social media and online marketing tips from The Front Row. Super quick, super actionable, super smart. Each day there's at least 1 important take-away just for me with just a couple minutes of listening--tech tips, marketing inspiration, and social media changes. I don't miss a day!"
Asael Martinez - Miami Real Estate,"Asael and his team were excellent, a true professional who understands the market well,  He helped me sell my house and also helped my family buy a new home. The process was at times challenging because of certain situations out our control but he always made sure that we were at ease and he negotiated very strongly on our behalf. Thank You so much and I will highly recommend you to all my friends and family."
Atlanta Real Estate,What an awesome company. Great to have such a brand behind you.
Mastermind - AI Assistant for Software Dev Teams,Very good
Mastermind - AI Assistant for Software Dev Teams,Works great for me sends messages and reads them out for me
Columbus Real Estate,If you are thinking about buying a home or selling your current one. This is a one stop shop. You’ll also have the option to connect with a knowledgable real estate professional in your area of interest!
Thirty Second Money Tip with Nick True,Nice & short money tips and inspiration. Really looking forward to hearing more.
PSEG Long Island,i was able to pay my bill on time
Mastermind - AI Assistant for Software Dev Teams,Amazing app and super easy to setup with Echo.
Make Me Smart,"Need a text-only version of this. I'm frequently not able to listen to audio, so just being able to read it would be more useful and less intrusive."
Mastermind - AI Assistant for Software Dev Teams,Awesome app
Mastermind - AI Assistant for Software Dev Teams,Most awesome app to make my iOS work for me
Crypto Manager,"This Skill is an excellent companion for anyone that is looking to track their Crypto Currency Portfolio. The Skill targets those that deal with Crypto Currency and a daily basis. I was able to easily add and edit amounts and update my portfolio with little to no issues. The Skill understood all of the different types of Crypto Currency that I could think of and provided a total amount of my portfolio when requested, based on real-time prices. The one drawback, there is no skill cards used in the Skill. Without it being linked to an official account their is no reason why a skill card could not display the current price of the currencies if asked or the total value of your portfolio. In addition, please update the Skill to all English Regions. Overall, I do believe that this is worth enabling if you need a crypto currency manager, 2 thumbs up."
The Pitch with Amy Summers,"Amy is an deeply experienced, erudite professional who distills her hard-earned lessons into a rich, daily briefing applicable to a wide variety of professionals. Dig through the archives, sign up for the daily briefing, and deepen your knowledge base. Go Gators!"
StockTrigger,"She said that she was a Nova still and needed to check with her master before she could find me the answer to which stock I was looking for, bummer"
Marketplace Morning Report,"It went from 10-15 minutes to 45-60. Why? I rarely hear Kai Ryssdal or David Brancaccio anymore, instead I hear what I assume are interns or inexperienced millenials based on their diction and poor interviewing skills. It sounds like something I would hear on MTV. Marketplace Morning Report used to be my favorite Alexa skill. I finally removed it today."
Globe Advisor,
Mastermind - AI Assistant for Software Dev Teams,Love it very much
Mike Hrezo - Valencia Real Estate,"Mike Herzo has represented us on several home purchases and sales over the last 20 years.  His honesty, professionalism and commitment to his clients is exemplary.  He has helped us every step of the way through the process and is always available for questions.  We can’t recommend Mike enough. His knowledge and experience in the industry is invaluable when you are making one of the biggest decisions of your life. We consider Mike a great friend and he will be our Real Estate Agent for life."
Business Owner Inspiration for More Profit & Fun,Excellent Way to Start My Day
Mastermind - AI Assistant for Software Dev Teams,Works great no problem So far
Cheddar,Good programming but fails to play… repeatedly… on both my Show & Spot… or it buffers (stops) every 10 seconds… even with a 4MBPS source and 3-node Google Mesh Net WiFi system.  Please reduce the resolution a little.
Capital One,I use it to tell my account and it is really good and helpful
Nationwide,Awesome app. Love the ability to answer important insurance questions without getting out my dreaded file.
The Hustle,She stops mid-sentence as if reading the teaser to a longer story. Definitely needs a fix.
Front Row Entrepreneur,"This was my first time listening to a flash briefing and I really enjoyed it. Jen was lively, informative, succinct, and made the experience worth listening."
Coach Burt Daily,
The Compound Show,"Josh always has thoughtful content that’s delivered in a quick, concise fashion."
Stock Info,Gives me the wrong result each time
Coldwell Banker Home of the Week,Love the home of the week
Mastermind - AI Assistant for Software Dev Teams,Like the message part. Wish it could do more with home automatuon
Mastermind - AI Assistant for Software Dev Teams,I love Mastermind it makes sending texts and other things so easy to do
Mastermind - AI Assistant for Software Dev Teams,The app is great
Digital Marketing Podcast,"Good info, but volume is too low."
The Motley Fool,Love this skill. It is extremely useful and easy to use. I was able to add to my watchlist all the stocks that I'm interested in. I am constantly getting a market update and an update on my watchlist - it is addictive. The recognition is amazing and the voice interface almost human like. I'm eagerly looking forward to future updates for this skill.
iPay QuickPay℠,The initial setup process was quick and easy. I was able to walk through my front door with my bills in hand and pay them in my kitchen before tossing them into the shredder. No reason to log into my bill pay site to do any of it! This is gonna be a big time saver for me!
it showroom,Good
YNAB,They want to charger an annual fee too be able to use the app. No thank you. I'll pass.
Faith Harmer - Las Vegas NV Real Estate,"I live in another state and needed to sell my mother’s home after she passed away.  Faith and her amazing team went above and beyond during every step of the process.

The most helpful part for me was when Faith and her team assisted in getting repairs and upgrades coordinated on my behalf so that the house would look nice when it was placed on the market.  Faith has an extensive list of preferred contractors that she recommends... and they are all fantastic. The finished product was a beautiful house with an up-to-date style that was highly desirable to buyers.  We had multiple offers, the house sold very quickly, and we got over the asking price!

Every time I think about Faith & Team, I smile because they worked so hard on my behalf to make sure I had a flawless experience from beginning to end.  Thank you so much!"
Fox Business,Gives a straight forward business related news update. This is not the Fox opinion cable channel nor is it MSNBC obviously.
Mastermind - AI Assistant for Software Dev Teams,I was skeptical but installed it and it really works!  Amazing!
Capital One,
My Crypto Wallet,"This app is great, it's very simple to understand your whole crypto portfolio snapshot at once.

There is one little, but VERY annoying bug.  If you don't enter ALL the addresses you want the first time, you cannot do it again."
Get MY YTD points,"Trying to get your points is a big pain ,a lot of older people have problems with computers.One of these days your going to get old, then you’ll find out you can’t use new technology."
Bloomberg,when you ask for stock quoteit will only play market minute!
Personal Branding Mastery,I enjoy Tim Davis expertise. His marketing & branding concepts are worth their weight in gold!
Mastermind - AI Assistant for Software Dev Teams,Limited Google Chrome applications
Thirty Second Money Tip with Nick True,"I thoroughly enjoy Nick’s messages. His tips are short, sweet and impactful.
I also appreciate that it is included in my morning flash briefing."
ICO Quiz,Get a lawyer!  LOL!
Mastermind - AI Assistant for Software Dev Teams,It's great
Exponea,
My Home,Permissions button does no trespond on fire hd.
Bitcoin Info,"Works as advertised. my only complaint is that the invoke command feels cumbersome.  I'd prefer ""Alexa, what's the current bitcoin price?"", but i suppose that's the inherent evil in this functionality having to be packaged as a skill"
Mastermind - AI Assistant for Software Dev Teams,Seems to do just what it claims to do. That can be pretty rare with apps and skills.
check cryptomarket,Quickly enabled and got it up and running to get Alexa to be even more helpful!
Second Guess Social,"Love the insights. Quick, easy, and thought-provoking.. The only social media news brief I've seen so far."
Wake 'em Up Public Speaking with Tom Antion,"Any chance I get to sit in on a Tom Antion class, I do it. So glad to see him here on Alexa Skills. Antion isn't a theorist. He's done everything he teaches. His down-to-earth approach cuts through the bull and gets down to the nitty gritty of how to be effective and get paid."
Faith Harmer - Las Vegas NV Real Estate,"When my wife and I decided it was time to sell our home we were fortunate to find Faith Harmer.  We asked Faith to look at our home and suggest things we could or should do to best prepare the house to sell at a good price.

Faith shared her thoughts and we  took her advice.  When we asked if she knew people who could be trusted to do good work for us at a reasonable price she graciously provided a list of people she had used in the past.  Their work confirmed that they were people who did good work at a fair price.

When we felt the house was ready to be listed Faith arranged photographs and a video tour of the house.  Both were amazing.

In a market that was growing tougher for sellers we received a full price offer about three weeks from the date we listed.  We closed less than thirty days later for the full asking price.

Here is the amazing part of that:  The appraiser, hired by the buyer, appraised our home $20,000 lower than our asking price.  Faith believed that the appraisal was flawed and showed the buyer’s agent and appraiser how and why it was flawed.  The appraiser studied Faith’s argument and adjusted his appraisal up.  Amazing!  Faith knows her stuff.

Faith is the kind of agent that you want on your side when you are ready to sell your home.  We were really fortunate to find her."
Mastermind - AI Assistant for Software Dev Teams,"Working good. I use it to find my phone daily. Good job guys. My only small grip I wish you could call just from Alexa and not have to go through your phone, or at least have the actual phone call go through Alexa speaker and not your phone. Thanks"
BDO Forex (Flash Briefing),wow! this skill is great! i appreciate your effort in bringing this application to us. i hope be a proficient developer just like you :)
Mastermind - AI Assistant for Software Dev Teams,Cool product
One Minute Retirement Tip with Ashley,I don't know why I wasn't listening to Ashley before but I am very happy to get her tips every day
Thirty Second Money Tip with Nick True,Great content for anyone who wants to improve their financial future!
Allstate,"I try twice to setup this app
Alex could not access my Allstate acct information
App may need  update"
Front Row Entrepreneur,"I’m so happy I found Jen Lehner! She has a peppy, daily flash briefing with tons of info! She is generous and gracious in her sharing and teaching. I start my mornings with her and it helps my biz to have this info. Thank you, Jen!"
Mastermind - AI Assistant for Software Dev Teams,Excellent apply with great interoperability with aspects of the echo look forward to seeing what new and innovative things are to come.
Unofficial EASD Fan Facts by Mike Marx,Alexa is now part of the One United Team...
The Executive Leap with Mike Sudermann,Great quick podcast episodes to give you the confidence you need to make a career change. There really is no excuse not to listen to it if you are thinking of making a career change or going through the interview process with a potential future employer
Mitch Jackson's Trial Lawyer Communication Tips,
Albany Real Estate,Cool! Newest tech searching for my home. Easy to use. Kept checking back to hear updates.
Mastermind - AI Assistant for Software Dev Teams,"Did not work at all as advertised or demonstrated in the Video. Here are some examples: ""There are no items in your reading list"" is the response to over ten commands tried. Not sure what calendar the app is referring to as it reports there are no events, however in the linked calendar there are multiple events and dates. Would not do anything related to calls (when asked to make a call it replied that there's nothing in the reading list). It provided a nice message that it cannot perform those requests because the phone does not have the capability.
Great idea and we are sure others are having different experiences. This was ours."
Mastermind - AI Assistant for Software Dev Teams,Still Learning
Mastermind - AI Assistant for Software Dev Teams,Still trying to figure this out
Unite2Fight,
Dialpad,Fkfkvofmfk
Mastermind - AI Assistant for Software Dev Teams,Great app
One Thing A Day,Very helpful! Looking forward to more episodes!
Store Card,The skill repeatedly did not recognize my 4-digit voice code.
Coinbase Bitcoin/Ethereum Price,It needs price alerts and other features.
BondTrack,I highly recommend this app. It's so easy to use and I like the descriptive information it offers with regards to interest rates and maturity date.
Rocket Mortgage,This app is total garbage.
Capital One,Once you've met your minimum payment you can't  apply any additional payments.  Therefore this is useless because you'd still have to log in to your app or through your computer.
Mastermind - AI Assistant for Software Dev Teams,I love all the features it just goes on for days.
Optum Bank,Great way to find out info about my HSA account!
Libra Coin News,Great News About Facebook's Libra Coin
Facebook Behavioral Interview Questions,"these Interview questions can be tricky if caught OFF guard...
i think you need to work on being prepared"
CryptoTracker,If you could add price alerts this would easily be 5 stars.
Budget Bot,"great for home budgeting, easy to use and understand. The Alexa app makes it supper easy and so dose the messenger feature."
Mastermind - AI Assistant for Software Dev Teams,"Cool features, seems to work well so far, love compatibility"
Thirty Second Money Tip with Nick True,Thanks Nick for churning excellent content everyday in short and simple audio format. Really worthy advise.
20 Minutes of Influence Podcast,"I didn't even bother listening to it, I am only rating it so low because I did not subscribe to it, it just showed up one morning in my flash briefing and that irritates me."
Azimo,Terrible doesn't work at all for me.
Mastermind - AI Assistant for Software Dev Teams,Does everything it says it does. Simple to setup and use with Alexa and Echo.
Capital One,Love It
Mastermind - AI Assistant for Software Dev Teams,The idea is great but unfortunately it never works for me. No matter how many times I try or how many different ways I say it Alexa won't understand or bring up mastermind for some reason and always gets it wrong.
Networking Rx Minute - For Business Professionals,"Great daily insights. Short, motivational and interesting content. Frank Agin does a great job. I love starting my day with this!"
Mastermind - AI Assistant for Software Dev Teams,Easy to use
Rhino Fleet Tracking,This is such a great skill. Makes an easy program even more user friendly
Mastermind - AI Assistant for Software Dev Teams,Hands free calling.  Best app on Amazon for Alexa.
YNAB,"Great in concept....but.....Alexa can't seem to understand the names of many of my categories. I've tried renaming several times with the same effect. Were talking names such Clothing.

Other reason for the 1-star....YNAB needs to spend more time on their web interface and updating their iOS app then playing around with Alexa. Not happy about the ""new"" YNAB...development is extremely slow and things such as basic filtering and having consistent transaction downloads for most of my financial institutes is sorely lacking. I'm actively looking for a replacement."
Mastermind - AI Assistant for Software Dev Teams,"Looks good, give me a bit to get used to it"
Fast Marketing Minute,"Love the Fast Marketing Minute from Rockin' Robin her advice is ""spot on"" and always helps me stay current with marketing trends, make these quick tips part of your New Year resolution and you will the difference this can make."
The Voice of Social Sales,"I wake up every morning listening to Chelsea, learning about what’s going on with the latest trends of marketing and topics to stay up-to-date on. Chelsea provides valuable marketing information every morning in quick bits, I love it."
Ridgewood Bank,works great so far cery helpful
Experian,been using alexa for more then a year to connect to experian now it doesnt work.
TD Ameritrade for Advisors,Great content to start my day!
Smart Crypto,
TD Ameritrade,This is awesome to get a quick update or quote!!!
Audio Dash Updates,
Mastermind - AI Assistant for Software Dev Teams,This is by far one of the best skills. Definitely worth the wait. I would encourage everyone to try this skill.
Social Media Marketing Tips,
Green Mountain Power,
Rhino Fleet Tracking,By far the best GPS system we've used. Their customer service is unbelievably courteous and speaks ENGLISH : ) They will explain everything you need to know and will relate the features to your business type. These are some smart folks who treat you like a customer should be treated. We've had the system for 6 months and never had any issues(other than our own user errors). It's refreshing to find a company that doesn't have you sign a contract and works very hard to EARN your business. I give them 10 stars
Mastermind - AI Assistant for Software Dev Teams,It works great!
1st Source Bank,Easy to set up and I can ask Alexa for my balance or last transactions to see if something has cleared without picking up my phone! GREAT!
Nationwide,"Overall a good general QA skill. Will be great if it expands to let you do things, like get a quote too."
Bennie Chukwurah - 77407 Real Estate,She did an excellent job as our agent! Worked tirelessly and provided great information for our home! Great personality and easy to work with!
U.S. Bank,App works well just need to be specific .
Front Row Entrepreneur,"As an online marketing agency owner, I must stay up to date with the latest things going on with social. This is the FIRST briefing I listen to every morning."
Mastermind - AI Assistant for Software Dev Teams,"I have Google minis through out the house. I use it to get stats from my phone, along with a few calls."
Sowing Seed Flash Briefing,"You know those friends you get excited to see pop up on your phone? the same friends that when you're done speaking with them you feel better and forgot what you were worried about? Matt Miller on Sowing Seed Podcast is that friend! With honest, clean, positive, proactive input, I'd rather start my day with this than most anything else!"
East Idaho Credit Union,"So easy to use Alexa to check my balance, transfer or pay my loan. I love it with my echo auto I can see how much money I have and make a transfer if needed in my car on the way to the store."
4 Minute Crypto,"4 minutes - or less - everything I need to know about Crypto - and now it's part of my daily update.

Thanks Gary!"
Voice Prototypes,This is only for bank accounts so far as I can tell. Nothing to create voices or anything of the sort.
Mastermind - AI Assistant for Software Dev Teams,Works well
Swenk Today,I Love the Swenk attitude and I can't wait to learn more!
Thirty Second Money Tip with Nick True,These 30 second tips are a great way to get your day started off right with some sound advice to help keep your personal finances on the right track!
One Minute Retirement Tip with Ashley,Ashley is very knowledgeable.  These are well executed and easy to understand tips. Ashley delivers her expertise in financial management in an efficient and informative way.
Foundations with Jeremy Streten,
Make Me Smart,Nice and informative. Great way to keep up with information on tech and business. Interactions are easy to follow.
Store Card,This is by far the easiest payment I make!  I love it!  I love Alexa for so many reasons but this one of my favorite things
Capital One,Awesome
Econoday U.S. Economic Flash Briefing,A good selection of U.S. Economic events with highlights that I can understand.
SentinelOne,Having Alexa brief on the state of the environment's endpoint security is really cool. The fact that SentinelOne could create an integration like this says a lot about the flexibility of the platform and integration capability. Alexa will give you an update on alerts and activity in your environment - without even having to log into a console.
Thirty Second Money Tip with Nick True,"Great message, shared with passion and to the point. Money is a huge topic and I look forward to listening to all the other pearls of wisdom that Nick is going to share with us. Well worth a listen. Only 30 seconds of your life. Listen to it while you make a coffee or  buttering that toast."
Keynote Clarity for Thought Leaders with Jon Cook,"As a marketer it can be difficult to to remember that having a clear message the #1 way to serve your clients and your own business.

Keynote Clarity is a part of my morning listening routine to get my day started and in the right mindset."
Marketing School,How do you start a podcast with a quote from a book and forget the name of the book in mid-sentence? How can you call yourself “Marketing School” and not know the difference between strategy and tactics? A complete waste of time. You’d do better reading the articles on the websites for Fast Company magazine or Inc Magazine or following the posts on LinkedIn. This podcast is only for the self promotion of the two guys hosting it.
Sowing Seed Flash Briefing,"He is incredibly gifted when it comes to taking action - yes, this is a gift because so many people have great ideas, but few actually follow up on those ideas. I love the show and love Matt's awesome insight. I can't recommend listening to, learning from, and participating in what Matt does. You will be a better person for it!"
Mastermind - AI Assistant for Software Dev Teams,"I am disabled, so Alexa, Mastermind and FireTV are a great help to my.  They not only help with my daily tasks, like phone calls, texting.  Ordering my prescriptions.  Making appointments, but helping me keep them.
When the daily tasks are done, it's time for some fun. With all the apps, between Alexa and Mastermind, oh can't forget FireTV.  I have some one to talk to as well as many games to play. There's just so much that it's an exciting way to help me keep up with Life, it's self.  There are Manny things I have yet to introduce, but I don't have the space or time. Speaking of time.  My timer just went off telling me it's time to eat,. See ya..."
Ethereum Price Flash Briefing,
CryptoBadger,"Nice job, works perfectly."
Allstate,Keep it coming Allstate!
BuyAFloridaVacationHome.com Hot Sheet,
Money Master - Personal Finance Flash Briefing,Basic advice in a creepy voice
Experian,Now it's a snap to read those never-ending alerts and not have to fiddle around with passwords and lock status. Man i'm also now feeling a bit lazy but really it's just efficency at it's best. Thanks Amazon and Lexi..(Alexa)
Mastermind - AI Assistant for Software Dev Teams,One of the best apps I've seen. Great addition to echo. Provides many new functionalities. Well worth buying.
Mastermind - AI Assistant for Software Dev Teams,I love mastermind. I have a iPhone and it does everything it’s suppose too. The only thing that I WISH it would do is to announce incoming calls and txt for iPhones and well... pretty much that android does.
Stock Checker,
Front Row Entrepreneur,LOVE this gal!  Jen is a staple in my list of resources I recommend for business owners. She is truly an expert on social media. She has this easy-going no-nonsense way about her that makes these bits  of knowledge come together in a very actionable way. She is super generous and always ready to share. If you love social media or if you're a business owner you NEED Jen in your life!
Capital One,One of the best skills so far! No problem linking account or using skill. Works beautifully and is very useful. Wondering when Alexa will have a skill for my primary bank (US Bank).
Cleveland Real Estate,I wish this was around when I bought my last house!!  How convenient!!
Cheddar,The stories are succinct and professionally delivered. My favorite flash briefing of the day
Unofficial Anypoint Exchange,This is a really cool way to query the Anypoint Exchange.
TIAA,It does what it says it will
West Point Ballet,Contains all of the basic information and is updated to help me know if classes are cancelled or rescheduled.
Mastermind - AI Assistant for Software Dev Teams,Nice! Informative!
Store Card,So easy to use!
Mastermind - AI Assistant for Software Dev Teams,Great app
PSE&G (Public Service Electric & Gas),"I accidentally linked my PSE&G skill to an old account that is no longer mine. But now I can't unlink that account and relink to a different account. Everytime I try to re-enable the skill, it links automatically to the original account. Basically there is no way to edit the account that is linked and unlinking does not delete the underlying account data."
Mastermind - AI Assistant for Software Dev Teams,This is absolutely the best Alexa skill  I've ever used thanks guys keep up the good work
Digital Marketing for Small Business,
YAPI,
Mastermind - AI Assistant for Software Dev Teams,Worth the early access fee. Best app I have. Keep up the great work.
Sophi,Sophi let's you get fast information from your Banco del Pacifico bank account.
Mastermind - AI Assistant for Software Dev Teams,So far so good
Mastermind - AI Assistant for Software Dev Teams,Love it .
Jamie Flanagan,We now add an alexa dot in all our listings that have wifi access to describe the home to people on a showing!
Amex,Pay your bill without your phone or computer in hand
Credit Card Helper,I really like this skill. Pretty awesome that it takes alexa from being a media player to an actually useful device.
Venice Real Estate Summary,"I found this to be very helpful, and a quick recap of what’s going on in my neighborhood."
51 Aliens,👽👍
Mastermind - AI Assistant for Software Dev Teams,Awesome wish I could change its name.
Shanan Hartel - East Aurora Real Estate,
CNBC,I love how I can ask for the info on the stock markets and the stock prices on the different companies and get an idea of how they are doing! it's helpful and useful to have on hand 🙂 👍 ✋!
Mike Hrezo - Valencia Real Estate,Mike is awesome! He helped me get the house I wanted and made the process smooth and easy! Definitely recommend him for your home buying and selling needs!
Ethereum,
Capital One,Worked great for me with an ING/Cap360 account. Haven't tried to pay a bill yet but excited to try.
Bloomberg,App does not end and repeates what else can I help you w
YNAB,"Useless. Maybe I'm an idiot, but I can't figure out how to get it to work with the version of ynab that I own. I'm assuming it just works with the garbage version that you have to pay for every month."
Social Video Insider,
The Tai Lopez Official Flash Briefing,I like Tai Lopez's stuff but this app just presents random blurbs taken out of context.
ZenCoin,
Cleveland Real Estate,With the ever changing Real Estate Market it’s nice to have this quick tool to search for homes!
Cryptocurrency Prices,
Front Row Entrepreneur,"Jen is a rockstar digital marketer for entrepreneurs  and those who manage small businesses marketing. She keeps up to date with the latest news (so we don’t have to!) and especially the changes that affect our marketing strategy. Keep up the great work, Jen. And thanks a million!!"
Mastermind - AI Assistant for Software Dev Teams,So far so good!
Boston Real Estate News,Good mix of real estate investment news. Local happenings in the real estate world.  Also covers legislation that you need to know as real estate investors
CEO Tip of the Day,
Livestream Universe Update: Livestreaming News,"Ross is one of the most professional and knowledgable broadcasters that I know and I look to him for inspiration on how to be a better interviewer, entertainer, and broadcaster in general.  His daily Livestream Universe updates will keep you on your toes regarding what is happening in the live stream and internet broadcasting world."
Mastermind - AI Assistant for Software Dev Teams,"fair dinkum!  this is a bloody beauty... its like an Aussie developed it... its simple and just does what it says (but im sure it in the background its a busy as a one legged man in a bum kicking competition).  when i get home from a hard day hitting the frog'n toad, this makes my Alexa experience worthwhile.  Even thought the bloody drongos at Amazon havent even switched on the Aussie part of Alexa yet - as if we live out the back of Bourke past the black stump and we don't speak proper good English.  I have renamed Alexa to Shazza just so it doesnt sound like toff nosed Seppo named it.
Doug"
Princeton Partners Marketing Insights,
Sigrun Sparks,Sigrun is so on point. She takes away all the fluff and dives straight into what you need to know when starting and growing your business.
Web Analytics,"Now I can check out the traffic to my website without the wasted time lost procrastinating on all the graphs and statistics!!
As a D.I.Y. website creator, I really appreciate how easy this app makes it for me to get my daily updates on my web traffic.  Connecting my account was a breeze and even gave me complete control over which account I wanted to track.  All the important information from today’s traffic was made available in a very clear manner.  Hopefully future updates will allow you to toggle between views and set custom reporting ranges."
Mastermind - AI Assistant for Software Dev Teams,Thank You For The Great Skill!!!
Social Selling Made Simple,"I love learning from Marki! She may be LIVE at an event, on a podcast, leading a training event- it doesn't matter! Her content is spot ON for any real estate professional who wants a proven track to run on. Enable to subscribe to her flash briefings, connect with her on social and check out her YouTube videos. She's a wealth of experience, knowledge, and sass!"
Westpac Banking,Repeatedly deleted the enabled it does nothing at all with the Alexa App on an iPhone X with latest iOS
Mastermind - AI Assistant for Software Dev Teams,Doing great.I love it
Cleveland Real Estate,With so many homes on the market this app is helpful and you can search the market easily.
Mastermind - AI Assistant for Software Dev Teams,"Ease of use.  Sometimes, however, I think it would be easier to use Alexa directly."
B2B News Update,
Run To Your Leadership Challenges!,I appreciate the insight and knowledge.
Mortgage Rates,"Although it's always behind a week or so, rates information is very accurate"
Harvard Business Review: Management Tip,A good refresher . But it seems to be simple for me.
India news,
Create My Voice,Nah brah!
The Perfect Gentleman,cool daily skill and I love it.
Kelly DeLucia - Neptune Beach Real Estate,Kelly is very knowledgeable and helped us through a challenging sale. I do not hesitate to recommend her to anyone selling or purchasing a home or property.
Columbus Real Estate,In the heart of it all!
The Motley Fool,"I believe the recognition rate/name match  is far better than the other quote skills that  I tried ( Bloomberg and stock exchange for example)
But I am particularly impressed with her ability to keep track of each users OWN list
I don't believe there is another skill like this doesn't give the same thing to every single user"
Mastermind - AI Assistant for Software Dev Teams,This is superb! I especially love how I can have my notifications read and cleared without having to touch my phone. The app works really good. Exactly as advertised. Keep the good work.
Mastermind - AI Assistant for Software Dev Teams,Great
Cryptocurrency Flash Briefing,Thank you for this! I need it daily.  Please add OMG!
Credit Card Helper,"what one the best of app for Alexa. I really enjoyed using this app and it helped me to chose the right credit card. it still need some work, but really helpful at this time."
Mastermind - AI Assistant for Software Dev Teams,I'm really enjoying the app thank you amazon for bringing that app out
Fidelity Investments,"It’s a great start, but would be much better if I could get my portfolio of mutual funds performance every morning before heading to work."
